Region,RegionA,Area
Central & Northern Sydney,C+N Sydney,Metro
Western Sydney & Blue Mountains,W Sydney +BM,Metro
Southern & South Western Sydney,S+SW Sydney,Metro
North Coast & Mid North Coast,N+MN Coast,Coastal
Hunter & Central Coast,Hunter+CC,Coastal
Illawarra & South East NSW,Illawarra+SE,Coastal
New England,New England,Inland
Western NSW,Western NSW,Inland
Riverina,Riverina,Inland
